"臣";"omi ; shin ; yatsuko ; yatsukorama";"gaji; petugas, Omi (gelar turun temurun; asal salah satu dari dua gelar tertinggi, kemudian diturunkan ke peringkat keenam tertinggi dari delapan), I; Saya ; budak, pengikut; pelayan, tawan, pelacur, aku; Saya"
"女";"onna ; omina ; ouna ; umina ; ona ; me ; jo";"perempuan; wanita; jenis kelamin perempuan, kekasih perempuan; pacar perempuan; nyonya; wanita (seseorang). ; perempuan, lebih kecil (dari keduanya); lebih lemah, wanita, istri ; wanita; gadis; putri, Rasi bintang "Gadis" Cina (salah satu dari 28 rumah besar)"
"戈";"ka ; hoko";"ge (kapak belati Tiongkok kuno) ; tombak Tiongkok bergagang panjang; tombak, senjata; lengan, pegangan busur, kendaraan hias parade berhiaskan tombak Tiongkok bergagang panjang"
"貝";"kai ; bai";"kerang, kerang laut ; Babel Jepang (spesies moluska bercangkang, Babylonia japonica); Cangkang gading Jepang, bagian atas berputar (secara tradisional terbuat dari cangkang babylon Jepang)"
"亅";"kagi ; ketsu";"tongkat berbulu, duri radikal (no. 6)"
"角";"kaku ; kado ; tsuno ; sumi";"sudut, persegi; kubus, uskup, derajat ketiga (skala pentatonik Jepang dan Tiongkok), Rasi bintang "tanduk" Tiongkok (salah satu dari 28 rumah besar), jiao (satuan moneter Tiongkok; sepersepuluh yuan) ; sudut; tepi, (jalan) sudut; membalikkan, sisi yang kasar (karakter, kata-kata, dan lain-lain); sifat abrasif; kekerasan; ketajaman ; klakson; tanduk, antena; peraba; tentakel (misalnya siput), proyeksi seperti tanduk (misalnya puncak krim kocok) ; sudut; reses, di bawah panggung sebelah kanan (di panggung noh)"
"乚";"kaku.su ; kaku.reru ; kaka.su ; yo.ru ; in ; on";"tersembunyi, misterius, rahasia, menyembunyikan, kecil, menit, varian radikal kail (no. 5)"
"方";"kata ; hou ; gata ; he ; be ; sama";"arah; cara, orang; wanita; pria, metode; cara, merawat..., orang yang bertanggung jawab atas..., sisi (misalnya "dari pihak ibu") ; arah; jalan; samping; area (dalam arah tertentu), sisi (argumen, dll.); bagian, tipe seseorang; kategori, bidang (studi, dll.), menunjukkan satu sisi perbandingan, cara; metode; tata krama; berarti, panjang (setiap sisi persegi) ; Tuan-tuan; Mesdames, sekitar (waktu itu, dsb.); tentang ; daerah sekitar, pantai (laut), akhiran digunakan sebagai indikator kasar lokasi, arah, waktu, dll. ; Tn.; Nyonya.; Merindukan; Nona, membuat sebuah kata menjadi lebih sopan (biasanya dalam ekspresi tetap), menyatakan; situasi; penampilan; tata krama"
"⺈";"katana ; to";"sudut"
"刀";"katana ; tou";"pedang (khususnya bermata satu Jepang); katana, pisau bedah, pahat; membakar; uang pengukir, pisau (uang komoditas berbentuk pisau yang digunakan di Tiongkok kuno)"
"金";"kana ; kane ; kin ; kogane";"uang, logam ; emas (logam), emas (warna), emas (medali); juara pertama (hadiah), sesuatu yang sangat berharga; sesuatu yang emas (misalnya diam), uang; koin emas, jumlah (uang), Jumat, karat (ukuran kemurnian emas); karat, logam (fase keempat Wu Xing), Dinasti Jin (dari Tiongkok; 1115-1234); dinasti dagu; Dinasti Jurchen, jendral emas, testis ; emas, koin emas, warna emas (warna)"
"辛";"kanoto ; shin";"peringkat 8; tanda kedelapan dari kalender Cina"
"川";"kawa ; gawa";"sungai; aliran, Sungai"
"皮";"kawa";"kulit; bersembunyi; melempari; bulu, kulit; mengupas; sekam; kulit kayu, cangkang; sarung; balutan, topeng (menyembunyikan sifat asli seseorang); tampak"
"缶";"kan ; kama ; hotogi";"Bisa; kaleng, makanan kaleng ; ketel ; toples gerabah berbadan gemuk dan bermulut kecil untuk menampung air, wadah air yang digunakan untuk memandikan bayi pertama kali"
"凵";"";"buka kotak kandang, buka kotak radikal (no. 17)"
"儿";"gai ; jin ; nin";"kaki radikal (no. 10)"
"厂";"gandare";"kanji "tebing" radikal (radikal 27)"
"木";"ki ; moku";"pohon; belukar; semak, kayu ; Kamis, kayu (pertama dari lima elemen)"
"九";"kyuu ; ku ; kokono ; chuu";"sembilan; 9"
"斤";"kin";"kerabat; tajam; satuan berat tradisional, 600g, pon (satuan berat), roti (roti)"
"行";"gyou ; kou";"baris (teks); baris; syair, carya (pertapaan), samskara (formasi), gaya semi kursif (penulisan aksara Cina); gaya berlari ; pergi; bepergian; perjalanan, tindakan; aksi, bank, konter untuk bank, konter untuk kelompok atau pesta orang, jenis syair Tiongkok klasik (biasanya sebuah epik dari zaman Tang dan seterusnya), distrik perbelanjaan (dari pedagang serupa; di zaman Sui dan Tang), para pedagang guild (pada periode Tang)"
"彳";"gyouninben";"kanji "going man" radikal (radikal 60)"
"口";"kuchi ; kou";"mulut, membuka; lubang; celah, mulut (dari botol); menyemburkan; nozel; corong, gerbang; pintu; pintu masuk; keluar, berbicara; pidato; bicara (yaitu gosip), rasa; langit-langit, mulut (untuk memberi makan), bukaan (yaitu kekosongan); posisi yang tersedia, undangan; panggilan, jenis; menyortir; ketik, pembukaan (yaitu awal), penghitung untuk suapan, bagian (uang), pembakar kompor, dan pedang ; mulut; ucapan, penghitung untuk orang atau peralatan"
"囗";"kunigamae";"kanji "kotak" atau radikal "negara" (radikal 31); radikal yang terdiri dari kotak penutup"
"首";"kubi ; shu ; tsukasa ; obito ; ohito ; outo ; konokami ; kashira ; koube ; shirushi";"leher, kepala, pemecatan; memulangkan; memecat (dari pekerjaan) ; counter untuk lagu dan puisi ; kantor; pejabat, kepala, (Kepulauan Yaeyama di Okinawa) orang (biasanya perempuan) yang bertugas memimpin upacara keagamaan ; Obito (gelar turun temurun, sering diberikan kepada keluarga daerah yang berkuasa) ; putra sulung, kakak laki-laki; kakak perempuan, orang yang lebih tua, kepala klan; kepala daerah, pengrajin terampil ; kepala (boneka) ; memenggal kepala musuh"
"車";"kuruma ; sha";"mobil; kendaraan, roda"
"毛";"ke ; mou";"rambut, bulu; wol, turun; bulu burung; bulu ; seperseribu; 0,03 mm (seperseribu matahari); 0,01 persen (seperseribu wari); 3,75 miligram (seperseribu monme), satuan moneter lama (0,0001 yen)"
"彐";"";"moncong, kepala babi radikal (no. 58)"
"言";"gen ; koto";"kata; komentar; penyataan"
"子";"ko ; ne ; shi ; su ; kou ; mi";"anak; remaja; pemuda; orang muda (belum dewasa), (seseorang) anak; keturunan, muda (hewan), wanita muda, cabang, minat, bagian baru, pemain yang bukan dealer (dalam kartu, mahjong, dll.), telur burung, -er (seringkali wanita muda), geisha muda ; Tikus (tanda pertama zodiak Cina), jam Tikus (sekitar tengah malam, 23.00 hingga 01.00, atau 12 tengah malam hingga 02.00), utara, bulan kesebelas kalender lunar ; anak (khususnya laki-laki), viscount, pendiri aliran pemikiran (khususnya Konfusius); master, master dan filsuf (kategorisasi sastra klasik Tiongkok), you, -er (yaitu pria yang menghabiskan seluruh waktunya melakukan...) ; akhiran kehormatan (atau familiar) yang digunakan setelah nama ; anak, minat ; buah; kacang, biji, (dalam kaldu) potongan daging, sayur, dll, isi; zat"
"虍";"";"bintik macan, belang, macan atau mahkota macan radikal (no. 141)"
"工";"kou ; takumi";"pekerja pabrik ; tukang; tukang kayu, kerajinan; keahlian; ketangkasan; desain, plot; skema; kecerdasan; menipu"
"冫";"koori ; hyou";"radikal air dua langkah atau radikal es (no. 15)"
"忄";"kokoro ; shin";"jantung, varian radikal jantung berdiri (no. 61)"
"心";"kokoro ; shin";"pikiran; jantung; semangat, arti sebuah frasa (teka-teki, dll.) ; jantung; pikiran; roh; daya hidup; kekuatan batin, lubuk hati seseorang; inti (karakter seseorang); alam, pusat; tengah; inti; hati, hati (organ), Rasi bintang "Hati" Cina (salah satu dari 28 rumah besar), teman"
"米";"kome ; meme ; bei ; meetoru ; yone";"(butir sekam) beras, pokok (produk, dll.); kebutuhan ; Amerika Serikat; Amerika Serikat ; meter, meter; mengukur ; 88 tahun, beras"
"衣";"koromo ; kinu";"pakaian, gaun; jubah, pelapis (misalnya glasir, adonan, lapisan gula) ; pakaian; garmen; gaun"
"衤";"koromo";"pakaian, pakaian radikal no. 145"
"五";"go ; itsu ; uu";"lima; 5"
"匕";"saji ; shaji ; kai";"sendok"
"冊";"satsu ; saku";"counter untuk buku, volume ; dekrit kekaisaran untuk menganugerahkan gelar bangsawan (di Tiongkok kuno)"
"士";"samurai ; shi";"prajurit (khususnya pengikut militer daimyo pada zaman Edo); samurai, laki-laki yang hadir (pada orang yang berkedudukan tinggi); gaji ; laki-laki (khususnya orang yang dihormati), samurai, orang (dalam profesi tertentu, khususnya berlisensi); anggota"
"皿";"sara";"piring; disk, penyajian; membantu; kursus, kanji radikal 108 (di bawah)"
"氵";"sanzui";"air, radikal air (no. 85)"
"氏";"shi ; uji";"Tn; Nyonya; MS; Nona, klan, dia, melawan orang ; nama keluarga; garis keturunan; kelahiran, klan"
"至";"shi";"ke..."
"礻";"";"kultus, menunjukkan radikal (no. 113)"
"尸";"shikabane";"mayat, kanji "mayat" radikal"
"而";"shiko.ushite ; shika.shite ; shika.mo ; shika.redomo ; sunawachi ; nanji ; shikaruni";"Dan; kemudian; dan lagi; Tetapi"
"舌";"shita";"lidah, benda mirip lidah; genta (dari lonceng); cakar (dari kunci)"
"示";"shime.su ; ji";"tunjukkan, nyatakan; mendemonstrasikan"
"扌";"";"tangan, tangan radikal (no. 64)"
"夂";"shuu ; chi";"terlambat, tertunda, musim dingin radikal (no. 34)"
"小";"shou ; ko ; sasa ; saza ; guwaa";"kekecilan; item kecil, bulan pendek (yaitu memiliki kurang dari 31 hari), sekolah dasar, lebih kecil (dari dua hal, tempat, dll. dengan nama yang sama); inferior, lebih muda (dari dua orang dengan nama yang sama); junior, satuan luas lapangan (sekitar 400 m persegi) ; kecil; sedikit, sedikit kurang dari; hanya tentang, agak; entah bagaimana, kecil; cerewet ; kecil; sempit, awalan familiar, sedikit ; kecil; Sayang ; sempit; tipis"
"食";"shoku ; jiki ; shi";"makanan; bahan makanan, makan; nafsu makan, makan; bagian ; gerhana (matahari, bulan, dll.)"
"白";"shiro ; shira ; haku";"putih, tidak bersalah; orang yang tidak bersalah, ruang kosong, batu go putih, ubin naga putih, usus babi panggang yang ditusuk ; putih, tidak berbumbu; tidak diwarnai; tidak berubah, sangat banyak; tepatnya, berpura-pura bodoh, tidak berpura-pura; jujur; rajin ; ikan belanak belang putih, (Mugil cephalus), ucapan; garis seseorang, ubin naga putih, tangan pemenang dengan pung (atau kong) ubin naga putih, orang berkulit putih; Kaukasia, Belgia"
"辶";"shinnyou ; shinnyuu";"kanji "jalan" atau "maju" radikal (radikal 162)"
"自";"ji ; koro";"self-, from..., this... (berbeda dengan beberapa lainnya...); tersebut di atas"
"丨";"susu.mu ; shirizo.ku ; kon ; jo ; nyo";"nomor satu, garis, radikal batang (no. 2)"
"寸";"sun";"matahari (kira-kira 3,03 cm), panjang; pengukuran, sesak; kekecilan"
"斉";"sei";"Qi (kerajaan di Tiongkok selama Periode Musim Semi dan Musim Gugur dan Periode Negara-Negara Berperang); Ch'i"
"走";"sou";"berlari; balapan"
"田";"ta";"sawah"
"立";"ta.tsu ; -ta.tsu ; ta.chi- ; ta.teru ; -ta.teru ; ta.te- ; tate- ; -da.te ; -da.teru ; ritsu ; ryuu ; rittoru";"berdiri; diamkan; menetapkan"
"高";"taka ; daka ; kou";"kuantitas; jumlah; volume; nomor; jumlah uang ; SMA, SMA"
"辰";"tatsu";"Naga (tanda kelima zodiak Cina), jam Naga (sekitar jam 8 pagi, 7-9 pagi, atau 8-10 pagi), timur-tenggara, bulan ketiga kalender lunar"
"谷";"tani";"lembah"
"尢";"dainomageashi";"kanji "kaki bengkok" dai radikal (radikal 43)"
"血";"chi";"darah, darah; keturunan; garis keturunan; stok, (the) darah; perasaan; nafsu"
"⺌";"chiisai ; shou";"kecil"
"⺍";"chiisai ; shou";"kecil"
"幺";"chiisai ; you";"radikal benang pendek (no. 52)"
"力";"chikara ; ryoku ; riki";"memaksa; kekuatan; mungkin; semangat; kemampuan energi, ; kecakapan; kapasitas; fakultas, kemanjuran; efek, usaha; pengerahan tenaga, kekuatan; otoritas; pengaruh; kantor yang baik; agensi, dukungan; membantu; bantuan, stres; penekanan, artinya; sumber daya ; kekuatan; kecakapan; kemampuan ; kekuatan; kecakapan; kemampuan, kekuatan... orang; kekuatan... laki-laki"
"父";"chichi ; toto ; chan ; tete ; kazo ; kaso ; shishi ; ate";"ayah"
"丶";"";"titik, centang atau titik radikal (no. 3)"
"長";"chou ; tsukasa ; osa ; naga ; take ; taki";"kepala; ketua; pemimpin; penatua, pantas; kelebihan, utama, utama ; kantor; pejabat, kepala, (Kepulauan Yaeyama di Okinawa) orang (biasanya perempuan) yang bertugas memimpin upacara keagamaan ; kepala; ketua; pemimpin; lebih tua, yang terbesar dari semuanya; yang paling unggul ; panjang ; tinggi; tinggi badan, panjang (khususnya pakaian), semua (yang dimiliki seseorang); semuanya, keagungan (dari puisi waka, dll.)"
"月";"tsuki ; getsu";"bulan, bulan ; Senin"
"土";"tsuchi ; do ; ni ; to";"bumi; tanah; kotoran; tanah liat; lumpur, bumi (secara historis, khususnya sebagai lawan dari langit); tanah, torinoko-gami berkualitas rendah (mengandung lumpur), (periode) tidak melakukan pembangunan sesuai arahan dewa bumi (dalam Onmyōdō) ; Sabtu, bumi; kotoran; tanah, tanah, bumi (sepertiga dari lima elemen) ; tanah (khususnya tanah kemerahan) ; Turki"
"勹";"tsutsu.mu ; hou";"pembungkus selungkup, pembungkus radikal (no. 20)"
"爪";"tsume";"kuku (misalnya kuku jari tangan, kuku kaki); cakar; kuku, plektrum; pilih, kait; gesper"
"手";"te";"tangan; lengan, kaki depan, pegangan, tangan; pekerja; bantuan, masalah; peduli; usaha, berarti; jalan; menipu; bergerak; teknik; pengerjaan, tangan; tulisan tangan, jenis; sortir, tangan seseorang; kepemilikan seseorang, kemampuan untuk mengatasi, tangan (kartu), arah, bergerak (dalam go, shogi, dll.)"
"斗";"to ; tomasu";"ke; satuan volume tradisional, kira-kira. 18 liter, balok bantalan persegi (di bagian atas pilar), Rasi bintang "Dipper" Cina (salah satu dari 28 rumah besar) ; kanji radikal 68 di kanan ; wadah pengukur; ukur, kotak (tempat duduk di teater, dll.), persegi di atas kotak; sel blok bantalan kotak, persegi (di bagian atas pilar)"
"戸";"to ; ko";"pintu (khususnya gaya Jepang), rana; penutup jendela, pintu masuk (ke rumah), menyempit ; counter untuk rumah, rumah tangga, apartemen, dll."
"止";"to.maru ; -do.mari ; to.meru ; -to.meru ; -do.me ; todo.meru ; todo.maru ; ya.meru ; ya.mu ; -ya.mu ; yo.su ; -sa.su ; -sa.shi";"berhenti; menahan"
"亠";"";"tutup ketel radikal (no. 8)"
"刂";"";"pisau, pedang berdiri radikal (no. 18)"
"十";"too ; juu ; shii";"sepuluh; 10, usia sepuluh tahun, buku berisi kumpulan puisi"
"巴";"tomoe ; pa";"tomoe; desain heraldik terdiri dari dua atau lebih figur berbentuk koma yang saling bertautan ; bahasa Pali"
"酉";"tori";"Ayam (tanda kesepuluh dari zodiak Cina); Ayam; Burung, jam Ayam (sekitar pukul 18.00, 17.00-19.00, atau 18.00-20.00), barat, delapan bulan dalam kalender lunar"
"生";"nama ; ubu ; sei ; shou ; iku ; fu ; namari ; ki";"mentah; segar, alami; apa adanya; yg belum diperiksa; tidak diproses, tidak dilindungi (seks), hidup (yaitu tidak dicatat), tidak berpengalaman; kasar; hijau, kurang ajar; rasa pedas, bir yang tidak dipasteurisasi; bir, kosong (misalnya disk); tidak terpakai, hanya sedikit; bagaimanapun; samar-samar; sebagian; agak; setengah-; semi-, tidak mencukupi; tidak lengkap; setengah matang; setengah hati; asal-asalan, uang tunai, tipis ; tidak bersalah; naif; sederhana; tidak berpengalaman; hijau; basah di belakang telinga, lahir- ; kehidupan; hidup, aku; Saya; diriku, siswa ; vital; jantan; hidup ; area yang tumbuh lebat (pohon, rumput, dll.) ; bonito rebus dan setengah kering ; murni; mentah"
"也";"nari";"menjadi, menjadi (lokasi), jumlah uang"
"二";"ni ; futa ; fuu ; aru ; aaru";"dua; 2"
"廾";"nijuu ; kyou ; ku";"dua puluh, dua puluh atau huruf H radikal (no. 55)"
"日";"nichi ; ka";"Minggu, hari (dalam sebulan), penghitung hari, Jepang ; hari, matahari; cahaya matahari; sinar matahari, (hari); siang hari, tanggal; batas waktu, (yang lalu) hari; waktu (misalnya masa kecil seseorang), kasus (khususnya malang); peristiwa ; hari dalam sebulan, penghitung hari"
"人";"nin ; jin ; hito";"counter untuk orang-orang ; -ian (mis. Italia); -ite (mis. Tokyoite), -er (mis. pemain, dll.); orang yang bekerja dengan..., man; orang; rakyat ; orang; seseorang, manusia; umat manusia; rakyat, manusia (Homo sapiens), orang (lainnya); orang lain, karakter; kepribadian; sifat, orang yang cakap; orang yang kompeten; orang yang cocok; orang yang tepat, dewasa, saya; satu"
"乃";"no";"'S; dari; milik"
"攵";"nobun ; bokudukuri";"kanji "serang" radikal di sebelah kanan (radikal 66)"
"羽";"ha ; hane ; wa ; ba ; pa ; u";"bulu; bulu-bulu; bawah, sayap, bilah (kipas, baling-baling, dll.), shuttlecock (dalam bulu tangkis), shuttlecock (dalam hanetsuki), bulu panah ; counter untuk burung, kelinci, dll. ; derajat kelima (skala pentatonik Jepang dan Cina)"
"八";"hachi ; ya ; paa";"delapan; 8"
"癶";"hatsugashira";"kanji "tenda bertitik" radikal (radikal 105)"
"毋";"haha ; bo ; nai ; naka.re ; bu ; mu";"jangan, ibu radikal (no. 80)"
"母";"haha ; hawa ; kaka ; omo ; iroha ; amo";"ibu"
"巾";"haba ; kin ; beki";"lebar; keluasan, kebebasan (misalnya berpikir); garis lintang, celah; perbedaan (misalnya harga); jangkauan (misalnya suara) ; serbet; kain ; eksponen; kekuatan"
"火";"hi ; ka";"api ; Selasa, api (kedua dari lima elemen)"
"比";"hi ; korooi ; goro ; tagui";"perbandingan; proporsi, cocok; sama, perbandingan eksplisit (gaya Shi Jing), Filipina, dibandingkan dengan... ; waktu; periode; hari ; (perkiraan) waktu; sekitar; tentang; menuju, waktu (atau kondisi), waktu yang sesuai dalam setahun; musim ; baik; menyortir; ketik, sama; cocok; rekan"
"疋";"hiki";"konter untuk hewan kecil, konter untuk gulungan kain (ukuran dua han), konter untuk kuda, konter gulungan kain"
"羊";"hitsuji";"domba (Ovis aries)"
"品";"hin ; shina ; hon";"keanggunan; berkah; perbaikan; kelas; martabat, artikel; item, counter untuk item (makanan, dll.); konter untuk hidangan atau hidangan (di restoran) ; artikel; barang; benda; barang-barang; stok, kualitas, genit; sifat genit ; tingkat pangkat, pengadilan; kelas, bab; bagian; volume"
"舟";"fune";"mengirimkan; kapal; perahu; pesawat amfibi, tangki; bak mandi; tong; palung, penghitung untuk wadah berbentuk perahu (misalnya sashimi)"
"文";"fumi ; bun ; mon ; aya";"surat; tulisan ; kalimat, komposisi; teks; tulisan, seni sastra (sebagai lawan dari seni militer); akademisi; literatur, pernyataan ; lambang (keluarga); lambang, pola; angka ; angka; desain, tenunan kepar; pola garis diagonal, gaya (tulisan); kiasan (ucapan), desain; merencanakan; rencana, fluktuasi pasar kecil; koreksi teknis, buaian kucing, batang sewa (dalam alat tenun) ; senin; seperseribu kan (satuan mata uang 1336-1870), mon; unit tradisional yang digunakan untuk ukuran sepatu dan kaus kaki (kira-kira 2,4 cm), huruf; karakter; kalimat, kitab suci; mantera"
"隹";"furutori";"kanji "burung tua" radikal"
"豕";"buta ; i ; inoko";"babi (Sus scrofa domesticus), babi, gemuk; berlemak ; babi (khususnya babi hutan, tetapi juga termasuk babi peliharaan) ; babi hutan, bayi babi hutan, babi"
"冖";"";"radikal mahkota berbentuk wa (no. 14)"
"匚";"";"radikal penutup kotak di sisi (no. 22)"
"干";"hoshi";"pengeringan; kering"
"亡";"bou";"kematian, mendiang; almarhum"
"又";"mata";"lagi; sekali lagi; lain waktu, juga; demikian juga; demikian pula, di sisi lain; sementara, dan; Selain itu; di samping itu; lebih-lebih lagi; selanjutnya, atau; jika tidak, sungguh; Bagaimana; (apa, mengapa) di bumi, tidak langsung"
"广";"madare";"kanji "tebing putus-putus" radikal (radikal 53)"
"勿";"mana";"tidak harus; mungkin tidak"
"豆";"mame";"polong-polongan (khususnya polong-polongan yang dapat dimakan atau bijinya, misalnya buncis, kacang polong, polong-polongan), kacang kedelai (Glycine max); kedelai, alat kelamin wanita (khususnya klitoris), ginjal, kecil; miniatur; Sayang; cebol; skala kecil, anak"
"身";"mi ; mukuro";"tubuh, diri, tempat seseorang; posisi seseorang, bagian utama; daging (bukan tulang, kulit, dll.); kayu (bukan kulit kayu); bilahnya (bukan gagangnya); wadah (bukan tutupnya) ; mayat; mayat"
"見";"mi ; ken";"melihat, (tolong) coba (untuk) ; pandangan (tentang kehidupan, dll.); pandangan"
"水";"mizu ; sui";"air (khususnya air dingin dan segar, misalnya air minum), cairan (khususnya dalam jaringan hewan); cairan, banjir; air banjir, air diberikan kepada pegulat sesaat sebelum pertarungan, istirahat diberikan kepada pegulat yang terlibat dalam pertarungan berkepanjangan ; Rabu, es serut (disajikan dengan sirup rasa), air (seperlima dari lima unsur)"
"耳";"mimi";"telinga, pendengaran, tepi; kerak, selvedge (tepi kain yang tidak berjumbai); tepi tenunan yg dianyam"
"無";"mu ; bu";"Tidak ada apa-apa; nol, tidak-; non- ; tidak-, buruk...; miskin..."
"虫";"mushi";"serangga; jangkrik; ngengat, cacing; cacing gelang, emosi seseorang; perasaan, gugup; kecerobohan, orang yang mengabdi pada satu hal; orang yang berpikiran tunggal, inti katup, mushi (jenis permainan yang dimainkan dengan dek yang dilucuti)"
"目";"me ; moku";"mata; bola mata, penglihatan, lihat; menatap; tatapan; sekilas, perhatian; pengamatan; mata (dunia, publik, dll.), pengalaman, sudut pandang, diskriminasi; kearifan; pertimbangan; mata (misalnya untuk kualitas), penampilan, peluang untuk sukses; kemungkinan, jarak (antara untaian jaring, jaring, dll.); pembukaan; jahitan; tekstur; menenun, butiran (dari kayu), mata (dari badai, jarum, dll.), persimpangan (di papan go); kotak (di papan catur), titik (di dadu); pip; nomor urut, kelulusan; pembagian (skala), gigi (gergaji, sisir, dll.), akhiran bilangan urut, agak; -ish, point (misalnya perubahan) ; pesanan, barang (revisi anggaran, dll.), penghitung untuk potongan; counter untuk posisi dikelilingi (dalam perjalanan)"
"免";"men";"pemecatan; memulangkan"
